population,householdsize,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,ViolentCrimesPerPop
11235,2.6,23258,72.45,1.78,34.4,27.62,10.28,16.58,28495,10965,11785,6562,18700,5910,6497,7045,73.66,84.59,76.77,61.08,71.15,183,1.84,1143.9
28259,2.86,22052,77.25,1.32,21.89,25.09,13.69,9.35,27523,10009,13654,5095,5019,15413,10764,9752,51.11,61.99,61.76,67.15,72.4,2412,9.54,724.95
11162,2.8,14874,62.83,0.8,20.56,33.58,18.81,11.52,19434,7635,9048,3617,6319,39010,29572,7060,62.57,68.65,66.57,50.91,50.89,667,5.78,1487.34
122899,3.84,18395,79.18,1.17,18.24,22.73,16.71,7.95,19910,6981,7674,2922,5577,13361,5195,6331,67.71,84.14,75.33,48.23,52.73,3070,2.8,689.42
20714,2.36,22166,65,0.32,47.13,43.79,7.08,21.6,29893,11991,12228,15778,0,15243,6326,7427,62.69,67.57,70.4,59.49,69.23,529,3.28,49.93
11856,3.03,36618,83.22,1.2,51.29,22.01,4.56,14.76,40809,14049,14119,10291,9093,11443,18000,6328,78.23,94.1,77.23,70.68,78.54,56,0.72,16.72
19050,2.67,34372,83.58,1.11,40.93,20.87,5.74,12.84,41095,14767,15066,9288,12726,11497,8657,9016,77.97,85.49,86.8,59.43,68.72,149,1.06,649.83
11961,2.71,27230,73.45,1.88,33.34,28.75,13.22,18.4,30357,11994,12334,17759,17930,8531,8032,8180,67.82,80.88,74.89,54.16,61.73,248,2.51,346.97
15655,2.6,18499,75,0.69,24.1,34.68,13.17,14.45,21753,10912,15763,6624,2500,34000,5120,6614,42.97,50.51,49.82,66.97,75.86,1450,9.53,1770.94
23302,4.17,51594,88.74,2.55,38.24,17.3,5.92,12.75,52659,15142,16771,4590,6108,12843,9406,9872,75.36,88.3,80.68,48.57,57.79,536,3.46,609.81
45226,2.95,18060,71.26,0.58,20.33,30.07,18.48,11.31,23068,9081,14683,5359,2400,11710,6929,4936,42.18,56.12,54.33,67.29,73.08,5134,12.32,559.55
26167,2.37,54658,77.85,0.52,62.49,25.65,2.52,18.84,63337,28161,28647,27282,20295,23416,17992,20889,81.21,91.83,77.66,62.67,71,91,0.58,205.56
84474,2.76,23534,76.93,2.24,37.05,27.01,6.25,14.14,27832,11353,12578,6863,11822,7491,6391,6800,70.45,83.76,76.93,65.56,71.83,1223,1.9,512.19
27623,2.49,21688,67.14,0.47,36.17,35.91,12.39,24.38,26443,10366,10712,4962,5873,18690,583,9710,64.74,66.61,70.4,48.26,61.45,1047,4.37,734.61
71166,2.87,21962,72.63,0.11,20.23,23.85,22.07,16.66,25834,9847,10927,8937,5787,5723,7811,7537,41.73,48.83,52.16,53.63,59.61,7538,12.73,?
52141,2.82,26125,75.62,1.98,29.04,28.99,10.49,18.76,31379,11831,15673,6978,13860,34126,7087,14522,59.27,73.73,67.93,62.31,70.29,3651,8.21,919.33
16162,2.36,22446,70.6,0.51,35.91,36.51,8.64,16.7,29604,13742,17197,7929,49823,9822,15000,4595,53.26,53.45,64.04,70.45,77.01,1100,7.8,682.23
66473,2.66,38742,73.79,0.39,48.04,34.09,3.6,22.5,44680,16523,16562,9763,14924,17930,14351,13815,82.61,92.92,84.33,54.19,64.45,502,1.03,131.47
23170,2.09,53419,75.85,1.49,57.16,19.88,2.75,13.14,70219,40537,40887,28939,22538,48414,20261,15271,74.71,93.62,80.52,68.23,70.85,40,0.3,794.41
12849,3.59,16180,69.32,1.59,13.09,32.32,24.32,9.2,18788,5740,6694,5575,0,0,4040,5022,61.18,76.35,72.71,39.62,44.65,489,3.45,420.91
63891,2.64,31103,84.33,0.45,41.08,21.77,4.69,13.42,35161,13271,13449,11422,11847,7932,11198,10078,75.93,83.36,74.53,68.58,74.84,1184,2.5,?
15440,2.86,36091,84.9,0.81,47.33,22.69,3.41,12.51,41312,14482,14580,6426,4444,7238,1043,7344,79.48,92.03,76.62,75.41,80.26,177,1.42,?
18540,2.49,19985,69.56,1.62,33.14,34.55,8.77,12.6,24252,10444,10448,10101,10092,0,7652,9321,72.93,77.38,75.02,69.52,73.04,112,0.67,92.91
31971,2.2,54348,73,0.56,55.83,28,3.47,9.02,83272,55463,57381,30294,13326,39787,27395,28719,77.69,90.56,81.23,49.3,55.66,223,1.04,1087.25
14790,2.87,43376,76.55,0.61,65.12,33.47,2.47,12.64,51327,18705,19456,16183,10271,14356,4675,12395,83.27,88.68,79.48,68.29,75.55,208,2.22,237.45
34075,2.59,22439,72.65,0.66,31.66,30.89,12.41,16.99,27049,10365,10499,7185,10716,12381,7082,7572,66.69,77.23,76.39,58.27,66.36,868,2.97,212.87
332943,2.54,24819,71.86,0.36,36.37,28.93,12.29,18.44,30980,11894,13077,7722,9450,12415,7272,7817,58.92,68.72,65.53,57.77,66.3,15969,6,984.96
1585577,2.63,24603,70.12,0.35,32.15,31.63,13.98,18.2,30140,12091,15027,9061,10146,8285,5083,6053,47.22,62.33,56.66,54.09,62.23,138864,11.53,1279.6
82585,2.8,59719,81.14,0.99,66.23,25.85,2.91,14.43,70071,28840,29657,20516,7731,17833,6712,18081,84.77,94.31,84.44,66.66,74.67,355,0.7,256.34
29721,2.34,32704,64.97,0.48,54.7,41.16,4.52,26.5,37695,18875,19228,8871,22920,23131,9044,19684,74.95,86.68,78.71,62.3,70.28,276,1.18,142.7
66049,2.63,23726,72.25,0.63,39.06,35.02,7.54,17.2,30141,12657,14721,7200,12833,6139,8400,7231,59.7,69.62,69.8,63.78,72.3,2858,5.88,753.42
21847,2.92,36770,87.63,1,42.8,18.35,3.8,14.75,42144,14677,16374,6592,0,15987,10491,8881,74.47,81.25,77.03,63.43,76.48,567,3.9,122.69
26184,2.49,19433,70.39,0.44,31.57,39.05,8.88,15.8,25523,10866,13314,6284,6917,7901,7331,7658,49.67,64.92,59.42,67.84,76.59,1821,7.89,1849.3
101484,2.83,35934,89.64,0.85,34.13,13.22,4.08,9.17,40198,14115,14509,11766,13014,12912,9852,10522,74.52,84.99,75.71,70.98,76.4,1198,1.78,566.64
24656,2.7,36995,84.91,0.36,42.77,22.53,4.16,14.99,41144,14756,16183,11041,17135,12511,8776,8651,70.17,84.99,73.42,67.92,75.25,678,3.72,?
12727,2.49,23056,70.18,0.63,49.72,33.86,8.75,17.21,30546,11034,11128,21667,2542,479,12688,7828,72.67,77.26,73.78,67.23,74.49,212,1.89,51.91
33626,2.88,49143,88.07,0.99,64,17.53,1.98,21.15,52531,18362,18297,22636,4326,21070,11575,14954,88.59,96.51,89.58,57.94,69.9,77,0.32,94.97
22430,2.67,31235,79.04,0.93,51.45,28.59,4.67,16.39,38391,14246,14312,1704,5270,12691,8897,9317,73.75,80.96,82.82,66.56,75.69,281,1.74,422.05
13352,2.82,32713,73.7,1.76,46.04,32.15,5.23,24.43,36199,14243,13832,12981,5114,106165,4091,5742,77.61,83.46,74.35,68.08,72.52,125,1.16,452.4
10637,2.16,23773,69.21,0,43.75,35.02,8.65,19.7,26537,13164,13833,7680,234,9378,0,22816,64.25,70.11,66.94,55.69,64.4,232,2.99,407.12
165121,2.36,19923,72.35,0.54,34.7,30.68,9.69,15.24,26131,12108,13169,6838,8519,8899,5971,11800,57.18,75.41,64.48,59.22,65.69,5720,4.81,1693.42
10836,2.28,25649,84.51,0.9,30.14,19.2,2.24,7.63,32919,13997,14300,11547,4000,2331,0,8797,65.51,80.56,67.38,78.17,84.51,183,2.38,462.24
86335,2.5,41736,86.85,0.99,56.86,19.95,2.63,14.41,48608,20032,20459,14558,21025,10484,11321,11868,80.39,88.29,82.66,72.26,78.55,777,1.27,?
21160,2.79,58194,85.08,1.75,64.95,24.94,2.35,16.17,64920,27093,28517,18729,40576,21945,13857,17816,83.94,96.9,86.91,55.65,65.23,96,0.67,115.14
29208,2.6,45481,82.11,0.33,60.89,31.36,2.87,21.71,50916,19668,19718,19828,8154,15573,19962,16970,81.3,94.23,79.27,70.91,79.94,185,0.85,78.65
12839,2.46,20569,68.59,2.14,40.02,36.52,6.53,12.22,26654,10475,10832,5991,14440,6270,0,6043,67.77,74.34,75.51,73.71,76.08,259,2.49,985.03
75058,3.86,43971,90.62,0.85,45.34,10.48,2.59,9.81,45611,12840,12876,14276,15114,10192,13146,11001,89.56,95.53,90.14,55.28,65.64,228,0.43,131.68
51464,2.9,52208,88.99,0.96,65.08,17.33,1.94,11.43,60709,22433,22966,14063,29209,16808,10699,14770,87.61,95.25,85.32,59.06,67.26,229,0.68,?
22608,2.91,42549,87.81,0.98,44.73,17.54,5.63,13.94,46578,16750,16833,8975,12763,21196,11203,10504,80.98,92.8,79.86,64.5,71.03,410,2.64,?
14988,2.49,18357,65.73,1.51,34.3,33.51,10.04,16.92,22964,10377,11003,6042,8782,31548,4075,3774,64.73,77.13,69.49,60.79,69.09,357,2.65,1134.5
405390,2.49,21748,76.14,0.59,36.28,25.85,6.58,16.38,27208,11184,12560,9268,6689,7745,6272,7160,61.93,74.97,68.55,61.52,68.39,12404,4.29,969.6
23330,2.94,41944,87.6,0.57,36.52,18.29,3.11,12.87,45986,16302,16234,17942,15871,16840,10114,12351,75.91,88.27,78.78,63.41,71.3,330,2.48,251.24
11967,2.62,19157,70.65,2.29,27.47,34.87,8.36,11.19,23440,9210,10689,4548,6947,20000,4989,5067,70.05,77.81,67.66,59.72,65.79,200,1.79,934.12
25925,2.51,30591,81.43,0.27,48.5,22.76,4.68,18.47,34344,15557,16023,9962,13228,8918,9553,10589,75.06,82.78,76.76,67.76,75.1,286,1.69,377.97
10466,2.76,37683,82.3,0.16,37.59,23.68,7.14,13.67,42734,16907,17090,9295,26321,10134,930,6835,67.48,89.89,69.84,50.68,65.72,213,2.85,889.65
17118,2.29,34644,78.61,0.83,63.01,30.83,2.46,20.56,42345,18380,17805,13019,1750,57759,5100,17215,82.4,93.88,78.67,66.07,71.98,94,0.77,40.21
17668,2.52,34639,90.23,0.49,42.93,10.11,3.63,7.36,45597,16936,17590,14319,18757,15891,10425,11734,73.64,85.57,76.42,65.42,73.58,519,5.53,?
35748,2.86,41028,88.18,1.02,46.43,16.44,2.52,12.66,46108,17060,17853,12576,18319,17993,12205,11526,76.06,86.43,76.93,62.9,73.78,437,1.81,465.96
11290,2.46,23744,68.16,2.2,39.67,38.89,8.81,19.86,29171,12249,12818,6661,8590,21754,0,5101,69.43,79.65,78.06,65.7,77.08,211,2.12,150.04
11439,2.7,62420,84.14,0.96,70.06,25.1,2.04,18.5,70618,29773,30089,43680,7250,26588,12518,16825,90.33,93.16,88.69,56.45,66.83,32,0.38,49.56
40949,2.47,33411,70.54,0.81,40.18,34.53,5.68,22.03,40299,17376,17706,13168,15024,7154,10329,8807,71.66,77.79,74.63,61.24,68.72,609,1.87,1812.62
17790,2.66,46499,79.61,0.47,61.29,33.05,2.85,18.89,55878,20579,21350,13332,0,14364,14682,16028,83.65,90.18,90.84,57.16,69.23,156,1.33,129.13
437319,2.34,25592,75.66,0.75,43.45,26.59,6.9,15.46,32424,14478,15527,8075,8653,9400,8390,8147,63.51,76.28,67.2,61.73,70.4,11790,3.97,1841.38
27957,2.95,46674,92.92,0.47,41.6,9.66,3.24,11.41,51045,18554,19553,13169,31782,14049,11564,14063,79.06,88.45,79.22,65.68,74.66,474,2.8,301.31
133107,2.53,47204,82.7,0.67,51.28,20.54,4.3,14.75,55678,22095,23111,23117,21263,19955,13172,14736,77.43,92.28,78.84,57.54,66.06,1217,1.37,620.53
12220,4.32,43804,90.99,2.87,42.37,13.46,3.16,11.56,45205,10626,10712,0,13712,10702,2725,6068,91.5,97.66,94.24,49.8,62.54,45,0.44,190.84
66072,2.59,42962,81.45,0.5,49.19,21.07,5.3,14.76,49851,20292,21670,12013,10809,19598,9281,9950,69.83,83.7,74.85,70.99,73.54,1394,3.48,726.59
13187,2.47,35855,76.78,0.32,61.86,30.74,4.14,21.23,42245,18645,19257,11353,0,6595,9899,9070,75.4,85.65,73.14,70.99,75.28,169,1.77,74.56
11663,3.01,53665,94.1,1.08,57.19,13.23,0.18,9.95,55955,19255,19257,21002,900,26681,17642,14413,91.8,98.59,88.86,53,60.18,34,0.48,?
10205,2.46,26654,63.11,0.41,40.44,45.95,3.65,31.45,29464,12165,12077,4231,13612,17931,15112,9763,75.83,89.36,82,62.3,69.76,145,1.68,339.96
49425,2.67,25456,83.71,2.25,45.03,18.9,4.64,9.83,32417,11902,12096,10578,6096,9944,5528,6559,76.33,83.86,78.54,73.58,77.17,629,1.95,121.02
130474,2.66,25811,73.04,0.47,37.07,26.28,14.61,12.75,31163,12968,16127,9616,7750,11739,7014,7420,38.63,53.9,44.87,50.49,60.14,12972,15.07,2127.02
11218,2.66,18095,71.79,0.87,19.06,30.37,11.22,15.66,20562,8262,8966,4834,6901,6501,6046,8315,55.69,84.79,53.04,43.75,50.26,517,4.92,809.39
23930,2.87,36724,80.2,0.28,40.22,29.29,4.66,17.69,39916,14063,14561,13401,6444,15624,12117,11634,67.79,86.83,72.46,68.41,75.79,607,3.18,?
19949,2.76,48483,77.12,0.55,67.37,35.1,1.14,20.7,52340,21529,20861,19388,0,41543,18766,14739,89.64,98.88,88.92,62.78,66.81,51,0.31,199.2
10542,2.67,19063,68.09,0.23,25.86,36.39,12.4,14.54,25025,9397,12399,5243,0,10859,0,16393,47.91,56.31,62.31,77.45,76.76,897,10.7,1527.29
34989,2.57,29576,76.08,0.25,50.68,32.44,5.96,19.93,34987,12722,12808,12167,16003,5180,4567,7669,79.54,83.99,84.98,66.17,74,450,1.7,85.17
60394,2.75,37073,79.04,0.7,43.96,22.9,7.29,18.12,43200,17825,19791,11465,13749,13588,8053,9402,72.29,82.51,78.27,55.46,64.88,1032,2.24,727.83
16169,3.29,24292,79.07,0.67,20.69,15.52,16.57,11.66,26520,8990,11497,4500,3863,7935,5541,5363,58.91,66.44,69.57,52.38,56.19,824,5.48,781.32
14548,2.7,34182,88.48,0.88,40.48,13.23,3.85,8.43,36533,14405,14714,14139,11262,15085,10704,10109,75.17,84.61,72.52,68.96,75.54,105,1.17,367.13
55006,2.62,25168,76.65,0.38,51.01,29.36,6.39,15.68,31773,11843,11975,6964,8532,8554,6770,6737,75.23,83.97,74.09,63.63,73.08,620,1.67,155.25
11874,2.11,30141,84.74,0.32,39.91,16.5,6.21,13.6,33460,15982,16824,12820,9296,13147,6981,9775,62.08,78.45,65.34,58.72,68.84,217,2.95,1634.34
23229,3.42,53710,91.86,0.9,48.86,11.54,4.19,11.37,55924,17056,19305,5883,9684,16258,8011,10668,80.04,90.2,82.85,66.41,72.22,1030,6.51,251.23
32873,2.69,51253,86.4,0.36,49.51,18.84,3.54,13.79,58187,21407,22025,18108,17265,18521,15469,14209,79.27,90.91,83.82,58.41,69.6,266,1.23,367.33
15351,2.45,32877,82.64,0.94,39.95,24.31,3.89,17.85,38190,16134,17705,7471,10246,24341,16367,21520,69.84,84.46,71.03,65.46,70.59,640,5.59,560.56
124773,2.47,23453,85.3,0.67,38.24,17.18,4.59,11.89,34764,13247,15763,7676,11546,10151,8050,9096,57.44,70.74,62.15,72.28,78.45,5233,7.88,1981.45
12016,3.68,43092,79.6,0.22,66.08,26.4,2.6,15.66,60927,21551,24230,10497,10973,7315,5790,7352,75.42,84.53,82.2,58.73,66.72,116,2.58,83.89
13547,3.13,21392,76.91,0.99,53.73,26.53,6.35,14.03,31331,9573,9874,3661,5860,2605,11646,8089,75.76,77.8,70.89,64.79,71.28,172,2.52,39.87
10130,2.56,23642,72.1,0.37,36.01,34.62,7.37,17.03,30382,11981,12088,4239,11079,11351,4350,4749,66.02,74.81,77.51,71.32,75.33,68,0.82,?
13002,2.47,44335,89.31,1.35,45.26,14.97,1.94,8.92,49356,20519,20840,14018,14594,19440,10159,13921,80.8,92.68,74.03,57.84,67.58,89,1.15,60.9
17825,2.82,48889,88.72,0.38,51.57,17.62,2.86,14.05,52590,19810,19860,14616,31077,14199,27302,19877,84.47,95.42,75.55,56.44,68.7,64,0.58,70.4
23006,2.79,22194,74.76,0.69,53.59,30.43,7.35,14.93,30450,10282,10561,4210,3945,2458,6636,5233,74.2,79.08,72.98,66.73,70.83,257,1.76,242.54
39802,2.8,31671,78.68,1.64,37.06,22.64,10.34,13.9,36935,13854,15269,8174,12921,9945,8487,9389,68.95,80.12,77.49,65.31,74.67,772,2.55,574.24
31287,2.71,49900,87.07,0.56,53.16,20.78,3.06,12.25,57156,21734,22709,16857,15970,21284,12197,14576,79.76,91.14,86.01,67.83,74.43,478,2.71,288.37
70487,2.59,21407,69.94,0.31,30.37,31.35,14.47,20.99,26838,10648,11196,8112,5418,15847,3530,7654,58.23,65.59,60.85,59.71,65.42,2855,5,1497.92
35710,2.3,32405,79.89,0.48,53.98,29.94,4.4,19.53,39977,15992,16425,10234,8998,8594,17976,11804,74.37,85.37,72.93,74.61,80.98,503,1.93,?
22911,2.67,21238,68.76,1.66,29,34.44,8.44,15.38,26059,10954,13426,5493,5342,7163,6145,6270,59.85,74.1,77.02,60.71,71.12,688,3.57,681.32
12127,2.58,25141,78.47,0.83,38.52,31.38,6.23,17.96,29813,11170,11350,417,6578,3135,4865,8752,71.32,79.54,75.58,76.3,78.78,148,1.45,194.19
22191,2.58,27148,77.4,0.45,48.2,28.3,7.74,16.65,32801,14283,14618,8449,13846,9267,4923,17914,71.98,76.73,77,55.53,68.31,343,2.05,185.48
3485398,2.86,30925,78.71,0.61,33.34,19.53,10.68,10.5,34364,16188,22191,11257,12901,13875,6354,7111,59.78,74.48,69.13,54.81,60.83,212238,9.32,2414.77
13425,2.76,33969,80.02,0.8,37.44,26.37,3.81,15.48,37304,13763,13953,19673,10000,11982,12387,12246,74.61,83.44,79.83,58.57,63.1,324,3.52,581.57
15411,2.93,40117,78.96,1.58,51.51,32.44,7.85,20.65,43162,15100,15151,0,5467,16347,10617,6662,82.93,94.99,86.62,63.94,75.23,113,0.99,197
27134,2.47,20905,69.17,0.2,41.01,35.36,12.76,15.19,26552,10769,10964,8655,7206,2089,3583,7807,64.84,71.73,65.8,57.44,67.47,606,2.57,273.7
22902,2.72,29088,73.08,0.56,41.94,29.24,13.49,17.67,35364,13146,13323,12601,4532,11086,4090,6141,67.56,67.65,75.44,51.06,60.79,860,4.38,?
18749,2.9,35575,86.71,1.95,39.77,20.2,2.79,18.25,38189,13384,13296,15266,17951,10909,23849,14375,76.31,87.5,82.86,65.89,72.96,216,1.54,240.92
38901,3.66,28655,86.62,0.29,29.32,16.71,7.86,16.08,30218,10409,11524,10092,10269,8754,7251,7353,71.38,83.38,81.63,51.79,64.03,1139,5.13,1085.11
29202,2.66,48901,92.36,0.92,45.5,8.89,2.04,8.25,54669,19526,19703,17851,19152,16289,14910,13851,82.38,94.3,81.43,60.57,70.31,123,0.76,291.69
69101,2.67,22059,82.93,1.76,45.96,16.91,4.87,10.49,34598,12452,13355,6933,11495,7637,7127,9915,67.89,82.87,62.6,69.78,74.98,1903,5.69,587.55
10950,2.53,20711,65.61,0.78,39.5,36.03,10.26,20.09,24605,10113,10151,6609,6820,11823,9524,8387,67.52,66.99,74.4,61.13,68.26,341,3.62,650.49
18041,2.95,31262,83.53,0.21,41.36,21.32,6.29,12.91,39351,13082,14170,9937,9220,16335,5731,6738,53.04,70.26,47.25,74.08,77.61,732,8.18,465.66
13800,2.54,36864,83.23,0.15,49.32,22.02,2.13,16.48,42844,17679,18609,13072,22807,17274,9779,10591,81.36,94.51,76.37,54.36,66.99,270,3.29,221.64
33862,2.34,20461,64.27,0.43,35.8,38.41,9.42,21.02,26550,11269,11322,8976,5115,15083,0,17367,64.43,72.81,75.54,52.37,63.04,763,2.6,216.8
177196,2.36,22192,70.42,0.72,40.84,30.25,10.99,18.11,28778,12375,12735,8439,5783,7316,8069,7668,62.52,72.11,67.01,57.16,65.71,4071,3,795.08
12430,2.7,22996,77.82,1.27,44.83,24.86,4.26,11.22,32654,11447,11903,1100,4094,10119,8752,8340,68.41,67.3,72.35,69.61,83.98,171,2.27,361.75
16565,2.38,21762,68.99,0.1,34.71,30.27,11.64,18.52,28750,11816,12066,1325,6024,10750,8985,9490,64.05,64.12,82.52,39.7,52.28,498,3.63,525.42
41943,3.29,21221,74.82,0.43,30.33,25.99,12.39,15.53,24190,11495,14915,6334,5321,10785,8125,11727,63.09,78.77,66.8,55.8,63.05,2024,6.65,1462.29
16230,3.05,37156,82.54,0.81,38.1,25.93,3.99,17.38,41349,13282,13282,7330,14106,14354,11390,16945,83.34,94.44,84.1,69.42,77.78,177,1.53,89.61
109592,2.63,33344,86.61,0.81,60.29,14.36,3.2,10.07,50192,17786,19119,11835,10166,11657,8468,11531,75.13,89.53,71.98,63.75,72.82,1258,2.58,?
29603,2.75,43419,89.75,0.54,41.69,13.83,3.1,6.83,48156,16990,17004,24465,15400,17076,11278,12231,82.6,93.37,80.97,67.8,75.05,182,1.01,227.32
13024,2.25,23269,69.71,0.9,35.81,36.36,6.41,13.41,26628,13006,15955,7066,14581,6469,3018,7267,42.44,53.59,42.01,62.84,62.39,893,8.51,2649.8
12233,2.44,23684,67.32,0.58,42.79,35.95,7.59,20.07,29733,11548,11517,9222,30192,49869,6550,12713,73.46,84.53,76.14,48.86,59.83,76,0.74,46.52
15128,2.71,44735,81.76,0.92,65.17,28.11,2.13,19.02,52077,19096,19118,6536,17182,18579,25227,9008,82.14,93.63,76.39,65.4,76.47,79,0.64,74.62
58012,2.81,25655,78.71,0.44,24.77,20.77,13.18,9.8,27288,11089,11488,10870,15755,13355,9197,9996,56.12,66.57,61.43,53.42,60.06,3156,8.03,871.02
28176,2.51,60462,89.78,0.98,59.72,11.31,2.07,11.54,66991,28399,30694,24563,28303,21756,20609,22960,82.17,95.71,83.86,68.43,72.33,128,0.84,185.69
140761,2.61,20176,65.55,0.22,27.04,27.15,23.81,19.86,25083,10415,12350,8464,8300,14339,8011,8330,39.1,47.34,47.15,50.33,57.44,14962,12.65,?
41711,3.28,28289,78.65,0.72,33.31,25,10.16,11.84,32966,11252,12735,9591,12237,9675,7729,7647,42.94,59.12,44.96,67.51,73.06,2757,12.96,1501.93
